Initial,-24.067660188411736,2.6454005858399054,8.668237637994407,8.836452496369972,15.817698046139684,26.25217017691755,-8.442626633439916,-1.926569532641957,2.7464830372183826,-1.228980819248837,32.56942278617203,10.755821949519255,-3.006852097285778,-11.387187041761099,9.848744217692268,15.151861543237755,-46.634151739256744,7.978545218048113,-1.8701767454658578,-19.3881224396759,40.01372326599217,2.7288722406831902,6.505491021373383,-24.841197222912943,13.589229602466407,20.175148005099995,5.129931371857207,-22.27977333917066,-4.188449848632448,-6.353489130559269,7.767607918843954,-3.504550557111585,-0.7203094101254743,-28.426192671487993,27.91060769596652,0.7965340451234901,-2.202872599881795,17.875005102326263,-16.705266025604537,15.275923449578546,-14.937222738333846,22.87840257641094,14.307457166956539,11.440643172566924,3.8027602991056226,-21.14308189616575,0.4499287805569703,8.529510770452848,2.4157502162787523,-1.3848712083302008
CGC,-118.03428669891072,-99.97911987006732,-99.38645079967704,-90.11985412304979,-86.25175775519548,-80.05125801978397,-107.05153233287456,-98.35309609313337,-101.25924807543996,-99.94321733830229,-77.63681650883763,-98.06576018560246,-100.43673642207581,-110.72314322533227,-90.69425926027536,-88.73261426519207,-137.35342946554294,-93.57221190190731,-102.60592432024805,-110.67430747798042,-70.58770961461857,-95.89115759610756,-102.94707495562203,-120.6372572289024,-90.81663352805361,-89.04843131084235,-98.2141023843309,-120.61955701055423,-102.2811674173456,-104.88653117149697,-103.05415494099977,-101.20629669026009,-101.43816062058978,-123.47550910839634,-79.71427151153101,-97.6044186695482,-107.49646918295603,-85.98732622922455,-113.97875975387097,-89.26801888035261,-108.5528139905352,-86.16447534775335,-90.73599780488402,-88.0437539057289,-94.1140934265134,-116.03963522371795,-105.76181949569647,-95.04893969668635,-100.25744469061553,-105.65300389226167,,,0.663379430770874,-4980.4500094194245
FM_kl,-122.25285534239946,-103.49485269550097,-99.94865942919996,-93.89050554559357,-88.11834161710838,-80.49507661743064,-110.81979307516632,-104.97140775405381,-104.88547161894644,-102.13789277893434,-78.29220276749011,-98.06576018560246,-101.82641964795252,-112.0154748837149,-97.18535295341584,-92.37131577928741,-142.95856699647524,-96.95687225811398,-107.13791202264228,-117.34135414302237,-73.92036504242127,-98.3243975650914,-103.68676062415891,-124.53867024602434,-91.67684187404112,-90.8732647542035,-99.13770080940172,-121.8060237731622,-109.78371843980865,-105.73553995392602,-106.50573292534497,-102.62510298109429,-106.3414795646351,-126.29709357947267,-82.65187946107996,-99.80535314740361,-108.85483701112682,-87.94177974501932,-118.77175256459935,-94.37416322615424,-112.89467727086743,-86.50066492283528,-92.50570402512648,-91.2837494754366,-94.53649582326642,-120.76557320037878,-113.6949583588911,-95.37838383254604,-101.68501896311427,-106.01310006049827,,,1.5758357048034668,-5124.076871333181
FM_gaec,-121.67780564677017,-101.39218507276065,-99.94865942919996,-93.20873720296767,-90.02539723629643,-80.27360702947504,-109.16284627523717,-103.45340765233784,-105.14477006701811,-102.5570329370021,-78.49658927797725,-98.06576018560246,-100.53888914781899,-111.75703342130655,-93.15228760194442,-91.52179716766385,-140.8044393902971,-98.32428169210041,-106.9437327149366,-116.05971299285369,-74.75018282590294,-97.44180940005003,-104.15644122473223,-122.9255894573486,-90.47903563661922,-90.87326475420349,-99.13770080940172,-121.09307907664781,-108.1892481810678,-105.73553995392602,-106.95617061270816,-102.49396351569486,-105.55423558552185,-123.57499008680361,-81.46170252392679,-99.59478018313814,-108.6979765767681,-87.94177974501929,-119.40860872064235,-93.38623541543136,-111.5840843619423,-86.50066492283528,-90.49572260731836,-89.272131980934,-94.53649582326642,-120.76557320037878,-111.08724291654073,-95.37838383254604,-101.68501896311427,-107.38349414753371,,,1.1673593521118164,-5095.050119183531
KLj,-120.10946561148333,-100.7577655295489,-101.35143779049379,-94.38851828028236,-89.33051931604182,-81.23321395771279,-110.21325963968184,-105.91808996075422,-107.63104416701002,-101.11030154044634,-77.39153245917343,-98.06576018560246,-102.74259481671206,-112.36786117173368,-94.14661755096661,-91.53956193836625,-142.23859515422203,-95.89341166394276,-104.79712130296986,-114.64011067262338,-72.54916476269771,-97.37563299971946,-102.10999220223731,-122.03347753709248,-91.71169131375412,-93.23776204754698,-99.13770080940168,-120.85679902923081,-109.59523082506335,-105.73553995392604,-106.55769238717843,-105.05883126210944,-103.30332307667196,-126.67749472229025,-83.30649423758939,-98.73084397169104,-109.53624843227065,-88.01917367406489,-117.32015429831458,-91.497290413304,-109.58100856542822,-88.37800134909907,-94.23552524611023,-92.06074410058244,-94.53649582326635,-120.08976565344105,-112.51368872318089,-95.86662555012337,-101.92325014166192,-109.25564347290933,,,0.14827179908752441,-5108.658069291725
BEST,-86.34856721387266,-62.57954330930902,-59.966988295431264,-58.71839660882644,-56.89927599818148,-39.53505029295073,-69.0292136134792,-71.19439136492271,-66.21152236478575,-70.79742467381746,-46.74186291394216,-58.96290383616673,-69.07647071918191,-80.39519812895047,-57.43703399706126,-54.21749764195462,-106.38535979032086,-61.98258484139413,-67.53868805667734,-86.21682026366894,-31.54259200176186,-63.87214041433643,-63.16151714254401,-86.48190512436653,-53.22063439218846,-49.77473272901139,-54.68441078856499,-83.9337629610832,-72.87065399994867,-68.38141794916658,-66.44279148980706,-77.96660067277756,-66.98381614489286,-100.38906522000615,-46.25373607351324,-75.3745348829989,-66.08494931301777,-56.27826476834952,-87.54322640192154,-60.23867454575063,-80.9341998431622,-44.6640926387033,-54.42971463322188,-64.95827158296422,-63.59065179595512,-81.3603821766241,-69.09595962489892,-57.394004939526624,-66.29167646185455,-64.08655380357531,,,0.23753070831298828,-3308.519728441388
FIRST,-66.76265418774425,-46.69286675888406,-32.89695974176075,-39.45605278181387,-28.74787837538407,-16.493957783629643,-50.01519826398082,-51.3645816087245,-40.299593761265335,-47.45666334231569,-12.984310994895296,-32.99786187496002,-41.59887284398894,-57.217845398140625,-39.86923421508175,-28.748297525625944,-87.09478419277593,-45.08112955489271,-37.824975591834075,-63.08475916902705,-10.016028652444497,-44.620110713063966,-50.086686247898214,-65.96184859568662,-38.19905548119718,-29.243311192785402,-41.401237415918615,-68.52730670419089,-40.1124728736241,-56.99829812073188,-30.409557255539983,-51.26899241291765,-34.589400743905195,-70.47730785708103,-26.429062914871515,-45.04422076402784,-37.35009328837011,-36.61673121291413,-58.571969097894474,-31.383029451143006,-55.80170560754486,-19.08380860944451,-25.934889737532593,-31.782519034108716,-43.721543964053055,-56.89815656694705,-38.2575793188017,-40.66886249665586,-44.36506785962102,-48.52465866087606,,,0.24280881881713867,-2139.033990818517
VOTE,-97.1655033723788,-75.37596650059902,-66.03164107678198,-71.66338597140694,-64.5104123615671,-47.1815397797741,-90.46380657603913,-74.54173469852154,-74.91176406266048,-77.49426667095554,-56.34337576216086,-67.94936206454143,-80.07100805181973,-85.84926826971795,-67.52678671606968,-65.23562723948257,-119.31475859468296,-70.95717596429189,-76.18118532533376,-92.22836251721648,-44.678915669069966,-71.87432782330822,-77.3383392395596,-98.21918051070283,-60.594318361859834,-60.49801357676138,-67.97764983349857,-95.33433387881534,-80.59521125300594,-81.16115010027185,-73.58543586562722,-85.96168332176636,-82.45071666981511,-105.68246349056359,-54.55947731095124,-77.24697842788918,-79.24368660396843,-59.96856769897543,-92.84271024554988,-64.647125999476,-88.89500719235804,-56.827764131719725,-63.463593879847394,-70.72441875354582,-72.32988823711906,-88.71299144290556,-82.39300782351775,-66.89511280801403,-79.51543028082759,-82.08051638082388,,,0.23556184768676758,-3787.2949483881157
PIVOT,-63.998192372189436,-38.624137841181266,-32.11885508022727,-28.762657497365907,-26.356137040957215,-13.515920567344029,-51.18053583578903,-41.8113570796897,-40.81272554602781,-49.533071798623766,-14.874190775536192,-33.66569579039283,-41.464523547212174,-49.64277241872334,-38.82768093513285,-24.167256098794326,-85.74669306840117,-37.661780744990196,-38.24639662990931,-59.08096714928659,-7.169411268236331,-33.419817649758755,-35.765290370882646,-69.5800842539802,-25.991171149374384,-28.412241641776216,-31.446691652076513,-60.51724472023635,-47.434813983538305,-43.53811155193712,-37.3465963330154,-47.22618987332861,-41.91098362559064,-65.51167278712906,-12.54636344582682,-33.381871419017074,-42.711849132018344,-18.195975809875307,-58.79803608059809,-24.178910675176578,-54.19613226926683,-17.78732905232352,-26.71074560798113,-23.76405675198705,-36.77815807602554,-64.28306399716446,-41.323147406124676,-25.874772335416427,-38.07581291775571,-41.472926648594736,,,0.09732770919799805,-1945.4410203037878
GAEC,-118.03428669891075,-99.69163818151914,-98.00628307176046,-88.0783857451723,-85.9802193824514,-76.82544875718948,-106.46741971891461,-97.67703958706518,-100.79352817447116,-98.88372121275557,-77.36587031656491,-98.06576018560246,-97.98423133194544,-109.49210208200326,-89.41709276958964,-88.68687791721862,-136.6155495192492,-92.56846554446906,-102.0224823631206,-108.64284655790122,-70.58770961461859,-93.72260702185856,-100.96523150286802,-118.60300015255328,-87.16560702170115,-88.92689734610939,-97.04544386912606,-118.56685027860856,-102.28116741734567,-104.88653117149701,-98.89353237370933,-100.23201112856373,-99.74056088421823,-122.91283630717524,-79.52453808131882,-97.2145429954058,-106.91469361722773,-85.98732622922458,-112.37568803516479,-88.0970841264064,-106.73508609634463,-85.75500500090214,-89.74902190566648,-87.84217301145968,-94.11409342651345,-115.46613844420307,-104.5582814574119,-95.0489396966863,-100.25744469061542,-104.53616925289396,,,0.09591150283813477,-4930.005461275272
GF,-104.70168479506346,-89.99733954183912,-83.48607413532783,-80.83419363740263,-70.64856539759333,-66.26909529750137,-87.81657469961361,-88.57811217315992,-91.93819108495269,-88.7853381284219,-56.87199727207367,-73.46287398313976,-89.60355763990138,-93.91648522923313,-79.85110347619046,-74.9221299526246,-128.68957070204397,-78.74533954741379,-96.44095079738969,-99.89467510162548,-59.31226128108345,-83.14524759721346,-88.86069149043811,-106.07991157753474,-75.01337819963727,-77.37456856681354,-81.98036141077017,-107.90128022980144,-94.22660889083633,-94.00043194809777,-85.79517106291014,-85.99717862813374,-88.77487947831234,-115.86789514318224,-69.27795239229513,-89.4919154545222,-88.18709036084805,-70.5152344562475,-96.56621316067925,-83.18247622478884,-94.79082756724495,-68.23905525551238,-71.51714750625949,-75.0105513754249,-77.89277134385806,-107.04992566162352,-93.99149234158614,-78.85558552625145,-85.22430418300296,-91.84026109497736,,,19.86710524559021,-4311.416522002398
BEC,-114.85100853030139,-93.3202082431963,-93.98999640320814,-88.44144028260666,-85.65728176490416,-78.87330589596391,-105.9934902766015,-99.96352462810589,-98.66790702402515,-99.60397376486632,-72.52991637018623,-89.12170718201357,-95.63576334349433,-109.22221378862943,-92.0394089029072,-81.24621114371553,-137.92831851190348,-90.23226482080483,-98.14362605969082,-110.3812757095902,-66.1032040319488,-87.84681974613574,-97.18382927352695,-117.2812134080949,-84.06522008547492,-84.48145564021107,-90.37989350303718,-118.15206210450071,-104.80438566028123,-101.94006565120509,-96.55371165719289,-101.16395419431149,-98.03121447303369,-122.85486780005652,-76.30571316439794,-96.78813687625714,-102.05594250989141,-84.38551228773396,-111.9976549268092,-83.57141032153204,-107.39215944152883,-77.62131596823997,-83.20217797416606,-86.75794813571227,-92.55157400278449,-113.57305680993171,-104.72095592511033,-87.95356993947907,-91.27971824600588,-96.68738276852241,,,15.595031261444092,-4803.528969173829
